row_type,scope,model_id,model,role,status,data_used,input_context,output,abstention_support,target_tactic,support,support_status,reportable,top1_accuracy,top3_accuracy_secondary,mean_reciprocal_rank,brier_score,normalized_multiclass_brier_score,coverage,abstention_rate,selective_top1_accuracy,macro_top1_accuracy,balanced_accuracy,macro_recall,macro_top1_accuracy_sufficient_support,descriptive_top1_accuracy,descriptive_mean_reciprocal_rank,descriptive_normalized_multiclass_brier_score,low_support_tactics,zero_support_tactics,evaluated_examples,main_limitation
per_tactic,external,first_order_markov,First-order Markov Chain (maximum likelihood),simple sequence baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,last trusted tactic,P(next tactic | last tactic),yes; unseen last-tactic context,credential-access,5,low_support_descriptive_only,False,,,,,,,,,,,,,0.0,0.333333,0.810414,,,5,descriptive only; below minimum per-tactic support
per_tactic,external,first_order_markov,First-order Markov Chain (maximum likelihood),simple sequence baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,last trusted tactic,P(next tactic | last tactic),yes; unseen last-tactic context,defense-evasion,335,sufficient_support,True,0.223881,,0.503483,1.14745,0.573725,,,,,,,,,,,,,335,cannot use longer tactic history or external/local shrinkage
per_tactic,external,first_order_markov,First-order Markov Chain (maximum likelihood),simple sequence baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,last trusted tactic,P(next tactic | last tactic),yes; unseen last-tactic context,discovery,1994,sufficient_support,True,0.397693,,0.698847,0.419837,0.209918,,,,,,,,,,,,,1994,cannot use longer tactic history or external/local shrinkage
per_tactic,external,first_order_markov,First-order Markov Chain (maximum likelihood),simple sequence baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,last trusted tactic,P(next tactic | last tactic),yes; unseen last-tactic context,execution,980,sufficient_support,True,0.0,,0.5,1.279138,0.639569,,,,,,,,,,,,,980,cannot use longer tactic history or external/local shrinkage
per_tactic,external,first_order_markov,First-order Markov Chain (maximum likelihood),simple sequence baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,last trusted tactic,P(next tactic | last tactic),yes; unseen last-tactic context,persistence,491,sufficient_support,True,0.94501,,0.96334,0.213952,0.106976,,,,,,,,,,,,,491,cannot use longer tactic history or external/local shrinkage
per_tactic,external,first_order_markov,First-order Markov Chain (maximum likelihood),simple sequence baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,last trusted tactic,P(next tactic | last tactic),yes; unseen last-tactic context,privilege-escalation,151,sufficient_support,True,0.0,,0.253863,1.84385,0.921925,,,,,,,,,,,,,151,cannot use longer tactic history or external/local shrinkage
aggregate,external,current_hard_backoff,Current Hard-backoff Variable-order Markov Model,incumbent baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,"tactic suffix up to 3, then technique, then last tactic",current runtime ranking from one selected source,operationally replaced by fixed fallback,,,,,0.547745,0.902494,0.724448,0.474335,0.237167,1.0,0.0,0.547745,0.337474,0.337474,0.337474,0.364771,,,,command-and-control;credential-access,,3969,hard source switching and heuristic fallback
per_tactic,external,current_hard_backoff,Current Hard-backoff Variable-order Markov Model,incumbent baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,"tactic suffix up to 3, then technique, then last tactic",current runtime ranking from one selected source,operationally replaced by fixed fallback,command-and-control,13,low_support_descriptive_only,False,,,,,,,,,,,,,0.538462,0.538462,0.353333,,,13,descriptive only; below minimum per-tactic support
per_tactic,external,current_hard_backoff,Current Hard-backoff Variable-order Markov Model,incumbent baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,"tactic suffix up to 3, then technique, then last tactic",current runtime ranking from one selected source,operationally replaced by fixed fallback,credential-access,5,low_support_descriptive_only,False,,,,,,,,,,,,,0.0,0.0,0.761725,,,5,descriptive only; below minimum per-tactic support
per_tactic,external,current_hard_backoff,Current Hard-backoff Variable-order Markov Model,incumbent baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,"tactic suffix up to 3, then technique, then last tactic",current runtime ranking from one selected source,operationally replaced by fixed fallback,defense-evasion,335,sufficient_support,True,0.247761,,0.444279,1.061071,0.530535,,,,,,,,,,,,,335,hard source switching and heuristic fallback
per_tactic,external,current_hard_backoff,Current Hard-backoff Variable-order Markov Model,incumbent baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,"tactic suffix up to 3, then technique, then last tactic",current runtime ranking from one selected source,operationally replaced by fixed fallback,discovery,1994,sufficient_support,True,0.62989,,0.814945,0.260057,0.130029,,,,,,,,,,,,,1994,hard source switching and heuristic fallback
per_tactic,external,current_hard_backoff,Current Hard-backoff Variable-order Markov Model,incumbent baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,"tactic suffix up to 3, then technique, then last tactic",current runtime ranking from one selected source,operationally replaced by fixed fallback,execution,980,sufficient_support,True,0.812245,,0.842347,0.416665,0.208332,,,,,,,,,,,,,980,hard source switching and heuristic fallback
per_tactic,external,current_hard_backoff,Current Hard-backoff Variable-order Markov Model,incumbent baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,"tactic suffix up to 3, then technique, then last tactic",current runtime ranking from one selected source,operationally replaced by fixed fallback,persistence,491,sufficient_support,True,0.034623,,0.517312,0.724081,0.362041,,,,,,,,,,,,,491,hard source switching and heuristic fallback
per_tactic,external,current_hard_backoff,Current Hard-backoff Variable-order Markov Model,incumbent baseline,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,"tactic suffix up to 3, then technique, then last tactic",current runtime ranking from one selected source,operationally replaced by fixed fallback,privilege-escalation,151,sufficient_support,True,0.099338,,0.099338,1.509684,0.754842,,,,,,,,,,,,,151,hard source switching and heuristic fallback
aggregate,external,empirical_bayes_vomm,Empirical-Bayes / Dirichlet-smoothed Variable-order Markov Model,proposed model,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,"trusted tactic suffix up to 3, technique, then last tactic",posterior predictive next-tactic distribution,yes; no context meeting raw support threshold,,,,,0.547745,0.911565,0.744424,0.465109,0.232554,1.0,0.0,0.547745,0.337474,0.337474,0.337474,0.364771,,,,command-and-control;credential-access,,3969,local posterior updating requires clean local calibration data
per_tactic,external,empirical_bayes_vomm,Empirical-Bayes / Dirichlet-smoothed Variable-order Markov Model,proposed model,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,"trusted tactic suffix up to 3, technique, then last tactic",posterior predictive next-tactic distribution,yes; no context meeting raw support threshold,command-and-control,13,low_support_descriptive_only,False,,,,,,,,,,,,,0.538462,0.653846,0.353136,,,13,descriptive only; below minimum per-tactic support
per_tactic,external,empirical_bayes_vomm,Empirical-Bayes / Dirichlet-smoothed Variable-order Markov Model,proposed model,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,"trusted tactic suffix up to 3, technique, then last tactic",posterior predictive next-tactic distribution,yes; no context meeting raw support threshold,credential-access,5,low_support_descriptive_only,False,,,,,,,,,,,,,0.0,0.333333,0.757952,,,5,descriptive only; below minimum per-tactic support
per_tactic,external,empirical_bayes_vomm,Empirical-Bayes / Dirichlet-smoothed Variable-order Markov Model,proposed model,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,"trusted tactic suffix up to 3, technique, then last tactic",posterior predictive next-tactic distribution,yes; no context meeting raw support threshold,defense-evasion,335,sufficient_support,True,0.247761,,0.541294,1.028762,0.514381,,,,,,,,,,,,,335,local posterior updating requires clean local calibration data
per_tactic,external,empirical_bayes_vomm,Empirical-Bayes / Dirichlet-smoothed Variable-order Markov Model,proposed model,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,"trusted tactic suffix up to 3, technique, then last tactic",posterior predictive next-tactic distribution,yes; no context meeting raw support threshold,discovery,1994,sufficient_support,True,0.62989,,0.814945,0.260053,0.130027,,,,,,,,,,,,,1994,local posterior updating requires clean local calibration data
per_tactic,external,empirical_bayes_vomm,Empirical-Bayes / Dirichlet-smoothed Variable-order Markov Model,proposed model,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,"trusted tactic suffix up to 3, technique, then last tactic",posterior predictive next-tactic distribution,yes; no context meeting raw support threshold,execution,980,sufficient_support,True,0.812245,,0.866837,0.392082,0.196041,,,,,,,,,,,,,980,local posterior updating requires clean local calibration data
per_tactic,external,empirical_bayes_vomm,Empirical-Bayes / Dirichlet-smoothed Variable-order Markov Model,proposed model,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,"trusted tactic suffix up to 3, technique, then last tactic",posterior predictive next-tactic distribution,yes; no context meeting raw support threshold,persistence,491,sufficient_support,True,0.034623,,0.517312,0.723427,0.361713,,,,,,,,,,,,,491,local posterior updating requires clean local calibration data
per_tactic,external,empirical_bayes_vomm,Empirical-Bayes / Dirichlet-smoothed Variable-order Markov Model,proposed model,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,"trusted tactic suffix up to 3, technique, then last tactic",posterior predictive next-tactic distribution,yes; no context meeting raw support threshold,privilege-escalation,151,sufficient_support,True,0.099338,,0.229265,1.50087,0.750435,,,,,,,,,,,,,151,local posterior updating requires clean local calibration data
aggregate,external,fallback_progression,Fixed Progression Fallback,ablation only,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,last trusted tactic,policy-defined ranked tactic suggestions,limited; normally forces a suggestion,,,,,0.210128,0.210128,0.210128,1.186282,0.593141,1.0,0.0,0.210128,0.250857,0.250857,0.250857,0.151199,,,,command-and-control;credential-access,,3969,"developer-defined heuristic, not a fitted probability model"
per_tactic,external,fallback_progression,Fixed Progression Fallback,ablation only,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,last trusted tactic,policy-defined ranked tactic suggestions,limited; normally forces a suggestion,command-and-control,13,low_support_descriptive_only,False,,,,,,,,,,,,,0.0,0.0,0.7075,,,13,descriptive only; below minimum per-tactic support
per_tactic,external,fallback_progression,Fixed Progression Fallback,ablation only,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,last trusted tactic,policy-defined ranked tactic suggestions,limited; normally forces a suggestion,credential-access,5,low_support_descriptive_only,False,,,,,,,,,,,,,1.0,1.0,0.1575,,,5,descriptive only; below minimum per-tactic support
per_tactic,external,fallback_progression,Fixed Progression Fallback,ablation only,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,last trusted tactic,policy-defined ranked tactic suggestions,limited; normally forces a suggestion,defense-evasion,335,sufficient_support,True,0.408955,,0.408955,0.993863,0.496931,,,,,,,,,,,,,335,"developer-defined heuristic, not a fitted probability model"
per_tactic,external,fallback_progression,Fixed Progression Fallback,ablation only,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,last trusted tactic,policy-defined ranked tactic suggestions,limited; normally forces a suggestion,discovery,1994,sufficient_support,True,0.347041,,0.347041,1.033255,0.516627,,,,,,,,,,,,,1994,"developer-defined heuristic, not a fitted probability model"
per_tactic,external,fallback_progression,Fixed Progression Fallback,ablation only,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,last trusted tactic,policy-defined ranked tactic suggestions,limited; normally forces a suggestion,execution,980,sufficient_support,True,0.0,,0.0,1.415,0.7075,,,,,,,,,,,,,980,"developer-defined heuristic, not a fitted probability model"
per_tactic,external,fallback_progression,Fixed Progression Fallback,ablation only,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,last trusted tactic,policy-defined ranked tactic suggestions,limited; normally forces a suggestion,persistence,491,sufficient_support,True,0.0,,0.0,1.415,0.7075,,,,,,,,,,,,,491,"developer-defined heuristic, not a fitted probability model"
per_tactic,external,fallback_progression,Fixed Progression Fallback,ablation only,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,last trusted tactic,policy-defined ranked tactic suggestions,limited; normally forces a suggestion,privilege-escalation,151,sufficient_support,True,0.0,,0.0,1.415,0.7075,,,,,,,,,,,,,151,"developer-defined heuristic, not a fitted probability model"
aggregate,external,external_only,External-only Variable-order Transition Model,source ablation,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,trusted tactic/technique context,external Cowrie transition ranking,yes; unsupported external context,,,,,0.547745,0.902494,0.724448,0.474335,0.237167,1.0,0.0,0.547745,0.337474,0.337474,0.337474,0.364771,,,,command-and-control;credential-access,,3969,"external corpus is weak-labeled and may shift by protocol, configuration, or deployment"
per_tactic,external,external_only,External-only Variable-order Transition Model,source ablation,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,trusted tactic/technique context,external Cowrie transition ranking,yes; unsupported external context,command-and-control,13,low_support_descriptive_only,False,,,,,,,,,,,,,0.538462,0.538462,0.353333,,,13,descriptive only; below minimum per-tactic support
per_tactic,external,external_only,External-only Variable-order Transition Model,source ablation,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,trusted tactic/technique context,external Cowrie transition ranking,yes; unsupported external context,credential-access,5,low_support_descriptive_only,False,,,,,,,,,,,,,0.0,0.0,0.761725,,,5,descriptive only; below minimum per-tactic support
per_tactic,external,external_only,External-only Variable-order Transition Model,source ablation,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,trusted tactic/technique context,external Cowrie transition ranking,yes; unsupported external context,defense-evasion,335,sufficient_support,True,0.247761,,0.444279,1.061071,0.530535,,,,,,,,,,,,,335,"external corpus is weak-labeled and may shift by protocol, configuration, or deployment"
per_tactic,external,external_only,External-only Variable-order Transition Model,source ablation,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,trusted tactic/technique context,external Cowrie transition ranking,yes; unsupported external context,discovery,1994,sufficient_support,True,0.62989,,0.814945,0.260057,0.130029,,,,,,,,,,,,,1994,"external corpus is weak-labeled and may shift by protocol, configuration, or deployment"
per_tactic,external,external_only,External-only Variable-order Transition Model,source ablation,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,trusted tactic/technique context,external Cowrie transition ranking,yes; unsupported external context,execution,980,sufficient_support,True,0.812245,,0.842347,0.416665,0.208332,,,,,,,,,,,,,980,"external corpus is weak-labeled and may shift by protocol, configuration, or deployment"
per_tactic,external,external_only,External-only Variable-order Transition Model,source ablation,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,trusted tactic/technique context,external Cowrie transition ranking,yes; unsupported external context,persistence,491,sufficient_support,True,0.034623,,0.517312,0.724081,0.362041,,,,,,,,,,,,,491,"external corpus is weak-labeled and may shift by protocol, configuration, or deployment"
per_tactic,external,external_only,External-only Variable-order Transition Model,source ablation,evaluated,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,trusted tactic/technique context,external Cowrie transition ranking,yes; unsupported external context,privilege-escalation,151,sufficient_support,True,0.099338,,0.099338,1.509684,0.754842,,,,,,,,,,,,,151,"external corpus is weak-labeled and may shift by protocol, configuration, or deployment"
aggregate,external,local_only,Local-only Variable-order Transition Model,source ablation,skipped,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,trusted tactic/technique context,deployment-local transition ranking,yes; insufficient or unsupported local context,,,,,,,,,,,,,,,,,,,,,,,local-only is not a valid source ablation for the external-corpus scope
aggregate,external,multinomial_logistic_regression,L2-regularized Multinomial Logistic Regression,optional classical ML baseline,skipped,privacy-minimized external Cowrie SSH classifier-derived weak-label sessions,one-hot tactic/technique suffix features and sequence length,softmax next-tactic distribution,not enabled without a calibrated threshold,,,,,,,,,,,,,,,,,,,,,,,scikit-learn is not installed; optional baseline skipped
aggregate,local,majority_class,Zero-order categorical / Majority Class Classifier,sanity baseline,skipped,local session payloads unavailable in public package,training-set next-tactic prevalence only,fixed categorical next-tactic distribution,no; predicts when training targets exist,,,,,,,,,,,,,,,,,,,,,,,no held-out session cases available
aggregate,local,first_order_markov,First-order Markov Chain (maximum likelihood),simple sequence baseline,skipped,local session payloads unavailable in public package,last trusted tactic,P(next tactic | last tactic),yes; unseen last-tactic context,,,,,,,,,,,,,,,,,,,,,,,no held-out session cases available
aggregate,local,current_hard_backoff,Current Hard-backoff Variable-order Markov Model,incumbent baseline,skipped,local session payloads unavailable in public package,"tactic suffix up to 3, then technique, then last tactic",current runtime ranking from one selected source,operationally replaced by fixed fallback,,,,,,,,,,,,,,,,,,,,,,,no held-out session cases available
aggregate,local,empirical_bayes_vomm,Empirical-Bayes / Dirichlet-smoothed Variable-order Markov Model,proposed model,skipped,local session payloads unavailable in public package,"trusted tactic suffix up to 3, technique, then last tactic",posterior predictive next-tactic distribution,yes; no context meeting raw support threshold,,,,,,,,,,,,,,,,,,,,,,,no held-out session cases available
aggregate,local,fallback_progression,Fixed Progression Fallback,ablation only,skipped,local session payloads unavailable in public package,last trusted tactic,policy-defined ranked tactic suggestions,limited; normally forces a suggestion,,,,,,,,,,,,,,,,,,,,,,,no held-out session cases available
aggregate,local,external_only,External-only Variable-order Transition Model,source ablation,skipped,local session payloads unavailable in public package,trusted tactic/technique context,external Cowrie transition ranking,yes; unsupported external context,,,,,,,,,,,,,,,,,,,,,,,no held-out session cases available
aggregate,local,local_only,Local-only Variable-order Transition Model,source ablation,skipped,local session payloads unavailable in public package,trusted tactic/technique context,deployment-local transition ranking,yes; insufficient or unsupported local context,,,,,,,,,,,,,,,,,,,,,,,no held-out session cases available
aggregate,local,multinomial_logistic_regression,L2-regularized Multinomial Logistic Regression,optional classical ML baseline,skipped,local session payloads unavailable in public package,one-hot tactic/technique suffix features and sequence length,softmax next-tactic distribution,not enabled without a calibrated threshold,,,,,,,,,,,,,,,,,,,,,,,no held-out session cases available
